date,day,time,wind speed,wind deg,temp
2018-07-10,10th July,12:00,11.54,112.503,69.78
2018-07-10,10th July,15:00,12.5,104.5,71.04
2018-07-10,10th July,18:00,9.57,77.0054,70.39
2018-07-10,10th July,21:00,9.46,79.0001,66.58
2018-07-11,11th July,00:00,8.43,64.0011,62.32
2018-07-11,11th July,03:00,9.24,60.5008,61.61
2018-07-11,11th July,06:00,11.23,50.0067,65.53
2018-07-11,11th July,09:00,10.4,51.0112,70.46
2018-07-11,11th July,12:00,9.44,74.5009,74
2018-07-11,11th July,15:00,7.74,80.0062,72.62
2018-07-11,11th July,18:00,5.93,48.0028,70.6
2018-07-11,11th July,21:00,5.08,103.503,67.27
2018-07-12,12th July,00:00,3.6,123.5,64.2
2018-07-12,12th July,03:00,3.15,321.503,61.25
2018-07-12,12th July,06:00,4.61,308.501,66.94
2018-07-12,12th July,09:00,6.76,315.501,72.66
2018-07-12,12th July,12:00,8.08,330.5,75.47
2018-07-12,12th July,15:00,10.13,331.002,75.74
2018-07-12,12th July,18:00,11.63,332.502,73.77
2018-07-12,12th July,21:00,10.76,321.502,68.57
2018-07-13,13th July,00:00,11.43,319.008,66.64
2018-07-13,13th July,03:00,9.42,325.502,64.94
2018-07-13,13th July,06:00,7.99,333.005,68.44
2018-07-13,13th July,09:00,8.52,325.001,72.37
2018-07-13,13th July,12:00,9.98,308,74.43
2018-07-13,13th July,15:00,10.65,308,74.58
2018-07-13,13th July,18:00,8.97,309.502,72.54
2018-07-13,13th July,21:00,6.53,291.502,66.73
2018-07-14,14th July,00:00,11.65,300.002,63.56
2018-07-14,14th July,03:00,11.45,301.503,60.95
2018-07-14,14th July,06:00,10.42,299.001,62.59
2018-07-14,14th July,09:00,9.57,292.001,65.98
2018-07-14,14th July,12:00,9.44,289.001,69.16
2018-07-14,14th July,15:00,9.66,291.005,70.49
2018-07-14,14th July,18:00,8.66,296.502,69.61
2018-07-14,14th July,21:00,7.07,293.501,64.2
2018-07-15,15th July,00:00,10.96,303.502,60.92
2018-07-15,15th July,03:00,10.65,301,58.99
2018-07-15,15th July,06:00,9.98,303.002,62.36
2018-07-15,15th July,09:00,9.44,299.516,65.67
